line,selector,property,value,classification,token_or_formula,note
555,.astra-input-gradient-filler,-fx-border-radius,12,visual-style-token,LauncherGeometry.INTRA_PANEL_MARGIN,Input filler bevel mirrors the shared ASTRA panel bevel family; clip radius is enforced in Java from LauncherGeometry.INTRA_PANEL_MARGIN.
556,.astra-input-gradient-filler,-fx-background-radius,12,visual-style-token,LauncherGeometry.INTRA_PANEL_MARGIN,Input filler bevel mirrors the shared ASTRA panel bevel family; clip radius is enforced in Java from LauncherGeometry.INTRA_PANEL_MARGIN.
570,.astra-run-progress-bar,-fx-border-radius,4,progress-visual-style-token,LauncherGeometryTokens.ACTION_PROGRESS_RADIUS,Bottom run-progress bar radius is derived in Java from ACTION_PROGRESS_RADIUS; CSS visual radius mirrors the compact lane style.
571,.astra-run-progress-bar,-fx-background-radius,4,progress-visual-style-token,LauncherGeometryTokens.ACTION_PROGRESS_RADIUS,Bottom run-progress bar radius is derived in Java from ACTION_PROGRESS_RADIUS; CSS visual radius mirrors the compact lane style.
10,.astra-button,-fx-padding,6 12,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
11,.astra-button,-fx-border-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
12,.astra-button,-fx-background-radius,5,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
13,.astra-button,-fx-background-insets,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
18,.astra-button:pressed,-fx-translate-y,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
97,.astra-button-help,-fx-border-radius,9,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
98,.astra-button-help,-fx-background-radius,9,button-visual-style-token,ASTRA shared button CSS grammar,Button state geometry is tested through button-states diagnostics.
100,.astra-button-help,-fx-padding,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
106,.astra-settings-card,-fx-border-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
107,.astra-settings-card,-fx-background-radius,7,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
119,.astra-settings-card:pressed,-fx-translate-y,0,zero-reset-token,FLUSH / zero reset,Intentional zero reset for JavaFX skin geometry.
144,.astra-badge-advanced,-fx-padding,3 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
145,.astra-badge-advanced,-fx-border-radius,11,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
146,.astra-badge-advanced,-fx-background-radius,11,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
177,.astra-workflow-chip,-fx-padding,7 12,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
178,.astra-workflow-chip,-fx-background-radius,16,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
179,.astra-workflow-chip,-fx-border-radius,16,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
208,.astra-header-action-rail-tab,-fx-padding,1 8 1 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
211,.astra-header-action-rail-tab,-fx-background-radius,8 8 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
212,.astra-header-action-rail-tab,-fx-border-radius,8 8 0 0,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
216,.astra-header-actions,-fx-padding,7 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
219,.astra-header-actions,-fx-background-radius,0 8 8 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
220,.astra-header-actions,-fx-border-radius,0 8 8 8,visual-style-token,astra-launcher.css style token,CSS-owned visual styling; rendered launcher diagnostics verify affected surfaces where applicable.
