family_no,family,checklist_item,status,evidence_level,primary_evidence,direct_inventory_examples,note
1,Header And Top Rail,Settings menu closed button internal padding.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | all-settings-geometry: section parameter row gap,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Project menu closed button internal padding.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,closed-combo-geometry: closed combo left cell inset | dashboard-geometry-overlay: dashboard card left internal padding | header-action-rail-geometry: header menu button gap,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,View menu closed button internal padding.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,closed-combo-geometry: closed combo left cell inset | dashboard-geometry-overlay: dashboard card left internal padding | header-action-rail-geometry: header menu button gap,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header menu chevron rail.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header menu label-to-chevron gap.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header menu button-to-button gap.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header action rail outer padding.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: left outer margin | dashboard-geometry-overlay: input pane to output pane | dashboard-geometry-overlay: right outer margin,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header action rail tab-to-box join.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | dashboard-geometry-overlay: output pane to run button | dashboard-geometry-overlay: run button to bottom,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header action rail border/radius consistency.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,all-settings-geometry: section content left padding | all-settings-geometry: section content right padding | channel-panel-geometry: channel title left inset,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header title block to action rail spacing.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,channel-panel-geometry: channel title left inset | channel-panel-geometry: channel title top inset | dashboard-geometry-overlay: header to input pane,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header pipeline breadcrumb spacing.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header breadcrumb chip padding.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header breadcrumb separator spacing.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset | header-action-rail-geometry: header tab top join,Header rail and menu internals are measured in header action/menu CSVs.
1,Header And Top Rail,Header gradient area to workspace margin.,zero-delta,direct-measurement,final-margin-pass-v3 header-action-rail/header menu artifacts,dashboard-geometry-overlay: input pane bottom to output pane bottom | dashboard-geometry-overlay: header to input pane | header-action-rail-geometry: header tab left inset,Header rail and menu internals are measured in header action/menu CSVs.
