id,family,subfamily,file,line,symbol_or_selector,property_or_usage,raw_value,current_token_or_formula,classification,closure_state,recommended_action,proof_needed,notes
GVT-0001,colors-theme-semantic-roles,java-constant,src/main/java/qupath/ext/astra/PipelineLauncher.java,155,CONTROL_BORDER,color,#7fa3ad,"private static final String CONTROL_BORDER = ""#7fa3ad"";",tokenized-pass-5,closed-proven,Keep production Java theme values routed through LauncherThemeTokens.,PipelineLauncherTest theme-token source guards plus targeted state screenshots,Theme/state pass 5 moved this production color or opacity value behind LauncherThemeTokens; dynamic channel RGB remains a documented data-driven exception.
GVT-0002,control-geometry,java-constant,src/main/java/qupath/ext/astra/PipelineLauncher.java,166,SCROLLBAR_THUMB_WIDTH,java-visual-literal,3.0,private static final double SCROLLBAR_THUMB_WIDTH = SCROLLBAR_GUTTER_WIDTH / 3.0;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0003,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,168,,java-visual-literal,2.0,(SCROLLBAR_GUTTER_WIDTH - SCROLLBAR_THUMB_WIDTH) / 2.0;,tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0004,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,244,,java-visual-literal,2.0,- (BORDER_WIDTH * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0005,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,256,,java-visual-literal,2.0,"Math.min(PARAMETER_ANCHOR_WIDTH, PARAMETER_FIRST_ROW_HEIGHT) / 2.0;",tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0006,bevels-radii-arcs-tab-curvature,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,258,,radius/arc,2.0,PARAMETER_ANCHOR_PAINT_RADIUS * LauncherGeometryTokens.BEVEL_DIAMETER_DIVISOR;,tokenized-pass-1,closed-proven,Keep tokenized accent arc formula and verify with bevel proof artifacts.,rendered alpha bounds + path segment extraction + curve tangent/end-point proof,Pass 1 resolved raw accent arc literal through BEVEL_DIAMETER_DIVISOR.
GVT-0007,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,297,,java-visual-literal,2.0,ACCENT_INDENT - (BORDER_WIDTH * 2.0) - PARAMETER_ROW_EDGE_TO_BAR_GAP;,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Dependent panel left inset now uses BILATERAL_EDGE_COUNT for both border edges.
GVT-0008,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,358,,java-visual-literal,5.0 2.0,SEGMENT_LABEL_WIDTH - (LauncherGeometry.INTRA_PANEL_SUBTLE_GAP * 5.0 / 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Segment button width reduction now has semantic SEGMENT_BUTTON_WIDTH_REDUCTION.
GVT-0009,control-geometry,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,364,,java-visual-literal,3.0,+ (SEGMENT_BUTTON_WIDTH * 3.0),tokenized-pass-3,closed-proven,Control geometry now routes through named LauncherGeometryTokens or explicit control helper methods; keep focused control diagnostics in sync.,focused control geometry diagnostics plus PipelineLauncherTest source guards,Control-geometry pass 3 resolved this production row with a named token/helper; screenshot review remains QA only.
GVT-0010,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,365,,java-visual-literal,2.0,+ (SEGMENT_CONTROL_GAP * 2.0);,already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Widest segment row width now uses SEGMENT_CONTROL_GAP_COUNT.
GVT-0011,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,368,,java-visual-literal,2.0,+ (OPTIONS_GROUP_GAP * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Options group width now uses BILATERAL_EDGE_COUNT.
GVT-0012,borders-strokes,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,369,,java-visual-literal,2.0,+ (SURFACE_BORDER_WIDTH * 2.0);,tokenized-pass-2,closed-proven,Keep as proof scaffolding or generated-token mirror; do not treat as production visual source.,rendered stroke alpha bounds + border width pixel scans,Formula now uses named LauncherGeometryTokens counts/divisors instead of raw shape or stroke multiplier.
GVT-0013,margins-padding-gaps-spacing,java-usage,src/main/java/qupath/ext/astra/PipelineLauncher.java,372,,java-visual-literal,2.0,+ (OPTIONS_PANEL_INSET * 2.0),already-tokenized,closed-proven,Keep semantic spacing token/formula and verify with targeted geometry overlay.,geometry-overlay CSV expected/observed/delta; /private/tmp/astra-spacing-pass-final,Menu width now uses BILATERAL_EDGE_COUNT.
