id,surface,state,source_file,source_symbol_or_selector,visual_families,proof_required,coverage_status,notes
GSC-0001,launcher dialog shell,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,Dialog<ButtonType> dialog = new Dialog<> at launcher entry,popup/dialog geometry;colors/theme/semantic roles;margins/padding/gaps;borders/strokes;typography/text ink,rendered dialog bounds plus style-class scan,covered-needs-rendered-proof,extension-owned main launcher dialog.
GSC-0002,launcher dialog shell,native X close,src/main/java/qupath/ext/astra/PipelineLauncher.java,dialog.getDialogPane().lookupButton(ButtonType.CANCEL),button families;popup/dialog geometry;control geometry,contract test plus close-action preview,covered-needs-rendered-proof,Hidden native cancel path remains extension-owned close behavior.
GSC-0003,launcher root,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,root.setPadding(new Insets(LauncherGeometry.FLUSH)),margins/padding/gaps;z-layer/clipping/edge artifacts;colors/theme/semantic roles,raw-vs-normalized edge audit plus rendered bounds,covered-needs-rendered-proof,Root edge artifacts are explicitly in coverage.
GSC-0004,header pane,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,header.setPadding(LauncherGeometry.uniformOuterMargin()),margins/padding/gaps;colors/theme/semantic roles;motion/animation/gradient speed;gradient texture tiling/seams,rendered header bounds plus gradient pixel sampling,covered-needs-rendered-proof,Includes title and provenance area.
GSC-0005,header gradient,dynamic gradient on,src/main/java/qupath/ext/astra/AnimatedGradientHeader.java,AnimatedGradientHeader,gradient texture tiling/seams;motion/animation/gradient speed;colors/theme/semantic roles,active surface count plus seam probe,covered-needs-rendered-proof,Dynamic mode must use shared gradient clock and no seam.
GSC-0006,header gradient,static gradient mode,src/main/java/qupath/ext/astra/AnimatedGradientHeader.java,AnimatedGradientHeader,gradient texture tiling/seams;colors/theme/semantic roles;opacity/translucency/disabled state,pixel sampling against static token state,covered-needs-rendered-proof,Static mode remains a visual state.
GSC-0007,gradient speed controls,each gradient speed mode,src/main/java/qupath/ext/astra/PipelineLauncher.java,HEADER_MOTION_PREFERENCE,motion/animation/gradient speed;button families;colors/theme/semantic roles,speed token scan plus preview frame delta,covered-needs-rendered-proof,Slow normal and lively modes are state-covered.
GSC-0008,header ribbon action shell,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createHeaderRibbonPath,header/footer tab shape metrics;bevels/radii/arcs/tab curvature;margins/padding/gaps;opacity/translucency/disabled state,live path segment table plus rendered alpha bounds,covered-bevel-pass-1-proof,Bevel proof: /private/tmp/astra-bevel-pass-proof/header-footer-button-wall-proof.md.
GSC-0009,header ribbon action shell,edge clipping,src/main/java/qupath/ext/astra/PipelineLauncher.java,updateHeaderRibbonPath,z-layer/clipping/edge artifacts;header/footer tab shape metrics;borders/strokes,raw screenshot edge audit plus clip bounds proof,covered-bevel-pass-1-proof,Edge proof: /private/tmp/astra-bevel-pass-proof/header-footer-button-wall-proof-edge-audit.md.
GSC-0010,header ribbon Home button,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,HeaderActionSlot.HOME,button families;control geometry;colors/theme/semantic roles;typography/text ink,rendered button family bounds plus text alpha proof,covered-needs-rendered-proof,Home has distinct role but same macro geometry.
GSC-0011,header ribbon Home button,hover,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:hover,button families;colors/theme/semantic roles;opacity/translucency/disabled state,state screenshot and style-class proof,covered-needs-rendered-proof,Shared hover grammar must apply.
GSC-0012,header ribbon Home button,pressed,src/main/resources/qupath/ext/astra/launcher.css,.astra-button:pressed,button families;colors/theme/semantic roles;opacity/translucency/disabled state,state screenshot and style-class proof,covered-needs-rendered-proof,Shared pressed grammar must apply.
GSC-0013,header ribbon Settings button,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,HeaderActionSlot.SETTINGS,button families;control geometry;typography/text ink;colors/theme/semantic roles,rendered button family bounds plus text alpha proof,covered-needs-rendered-proof,Category button shares macro family.
GSC-0014,header ribbon Project button,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,HeaderActionSlot.PROJECT,button families;control geometry;typography/text ink;colors/theme/semantic roles,rendered button family bounds plus text alpha proof,covered-needs-rendered-proof,Category button shares macro family.
GSC-0015,header ribbon View button,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,HeaderActionSlot.VIEW,button families;control geometry;typography/text ink;colors/theme/semantic roles,rendered button family bounds plus text alpha proof,covered-needs-rendered-proof,Category button shares macro family.
GSC-0016,header action page,default,src/main/java/qupath/ext/astra/PipelineLauncher.java,createHeaderActionPage,button families;control geometry;margins/padding/gaps;typography/text ink,rendered page bounds plus rail table,covered-needs-rendered-proof,Shared page helper covers Settings Project View.
